Campaign,Campaign Type,Campaign Daily Budget,Campaign Status,Ad Group,Ad Group Status,Max CPC,Keyword,Criterion Type,Status,Ad Type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
SSS Consumer,,,,Manager,,,,,Enabled,Responsive search ad,https://solutionseeking.com/practice/modes/manager,practice,manager,Prepare the Hard Conversation,Talk It Through First,For First-Time Managers,Say It Without the Damage,"Try It Free, No Signup",Not a Script. A Method.,Feedback That Actually Lands,Before You Talk to Your Report,Rehearse the Tough One,Built to Run a Real Company,The Talk You Keep Putting Off,"Performance Talk, Done Right","Think It Through, Then Speak",A Guide for Hard Feedback,"Understand, Then Speak",Think it through with a guide that asks what you have not asked yourself. Free to try.,"Three steps: understand yourself, understand them, then find a solution together.",No account needed. Type your situation and see where it goes.,Built by the founders of a worker-directed cafe to run their own company.
SSS Consumer,,,,Co-worker,Enabled,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Co-worker,,,how to deal with a difficult coworker,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Co-worker,,,how to deal with a difficult coworker,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Co-worker,,,coworker takes credit for my work,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Co-worker,,,coworker takes credit for my work,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Co-worker,,,how to confront a coworker professionally,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Co-worker,,,how to confront a coworker professionally,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Co-worker,,,conflict with a coworker,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Co-worker,,,conflict with a coworker,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Co-worker,,,coworker not doing their share,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Co-worker,,,coworker not doing their share,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Co-worker,,,how to talk to a coworker about a problem,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Co-worker,,,how to talk to a coworker about a problem,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Co-worker,,,,,Enabled,Responsive search ad,https://solutionseeking.com/practice/modes/coworker,practice,coworker,Work It Out With a Co-worker,"No Drama, No Escalation",Before You Go to Your Manager,"Try It Free, No Signup",Talk It Through First,When a Peer Keeps Dropping It,Say It Without the Damage,Not a Script. A Method.,"Free to Try, No Account",Test the Story You Are Telling,Keep the Relationship Working,The Awkward Conversation,A Guide for Peer Conflict,"Prepare, Then Have the Talk",Built to Run a Real Company,"Test the story you are telling about them, then prepare a low-drama conversation.","No authority in either direction. Just influence, good faith, and a working relationship.",No account needed. Type your situation and see where it goes.,"Three steps: understand yourself, understand them, then find a solution together."
SSS Consumer,,,,Partner,Enabled,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Partner,,,recurring fight with my partner,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Partner,,,recurring fight with my partner,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Partner,,,same argument with my partner,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Partner,,,same argument with my partner,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Partner,,,how to talk to my partner about a problem,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Partner,,,how to talk to my partner about a problem,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Partner,,,how to bring up an issue with my partner,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Partner,,,how to bring up an issue with my partner,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Partner,,,how to stop fighting with my partner,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Partner,,,how to stop fighting with my partner,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Partner,,,communication problems in my relationship,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Partner,,,communication problems in my relationship,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Partner,,,,,Enabled,Responsive search ad,https://solutionseeking.com/practice/modes/partner,practice,partner,The Fight That Keeps Coming,Work It Out Together,Talk It Through First,"Try It Free, No Signup",The Same Argument Again?,Say It So They Can Hear It,Not a Script. A Method.,Before the Next Blowup,"Free to Try, No Account",Repair a Bad Moment,Prepare the Hard Talk,For Couples Who Feel Stuck,"Understand, Then Speak",The Thing You Cannot Raise,A Guide for Real Conflict,"Understand what the recurring fight is really about, then prepare the conversation.","Three steps: understand yourself, understand them, then find a solution together.",No account needed. Type your situation and see where it goes.,Leave with an arrangement you will both actually keep.
SSS Consumer,,,,Parent,Enabled,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Parent,,,how to talk to my teenager,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Parent,,,how to talk to my teenager,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Parent,,,my teenager will not talk to me,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Parent,,,my teenager will not talk to me,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Parent,,,hard conversation with my child,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Parent,,,hard conversation with my child,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Parent,,,same fight about screens,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Parent,,,same fight about screens,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Parent,,,how to talk to my kid about behavior,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Parent,,,how to talk to my kid about behavior,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Parent,,,parenting difficult conversations,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Parent,,,parenting difficult conversations,Broad,Enabled,,,,,,,,,,,,,,,,,,,,,,,
SSS Consumer,,,,Parent,,,,,Enabled,Responsive search ad,https://solutionseeking.com/practice/modes/parent,practice,parent,The Hard Talk With Your Kid,"Prepare, Then Talk",For Parents of Teens,"Try It Free, No Signup","The Same Fight, Again?","Screens, Chores, Homework",Not a Script. A Method.,When They Stop Talking,"Free to Try, No Account",Repair It the Right Way,Talk It Through First,A Plan Your Family Keeps,"Understand, Then Speak",Lost Your Temper? Repair It,A Guide for Hard Talks,"Work through a hard conversation with your child, adapted to their age.","Three steps: understand yourself, understand them, then find a solution together.",No account needed. Type your situation and see where it goes.,Leave with a plan that actually fits your family.
